External ID,ID,Display Name,Quantity,Cost,Value
__export__.product_product_25081_b9056a77,25081,"Decoroof I.T.6 Profile Roofing Sheets, Thickness - 1.50mm, Length - 8.20 Meters Long, Colour - Clear",11,9348,11
__export__.product_product_18823_2f35233a,18823,"UNIVERSAL POLARIS ROOF RACK 52""X40""/WITH BRACKETS/ANODIZED WHITE #PW01702101",19,9351.27,19
__export__.product_product_24270_2504a637,24270,"Ironman Rear Coil Springs for Suzuki Jimny, Part # SUZ010B",3,9415,22596.43027
__export__.product_product_16582_d5be68be,16582,"Ironman Front Coil Springs for Ford Ranger T6 / Mazda BT50, Part # FOR001B)",5,9415.64,36917.00066
__export__.product_product_27941_20bc9df2,27941,"Ironman Front Coil Springs for Suzuki Jimny, Part # SUZ009C",2,9415.64,14766.80027
__export__.product_product_16598_7e2f6729,16598,"Ironman Performance Front Coil Spring to suit Mitsubishi Pajero, Part #MITS038B",5,9415.64,36917.00066
__export__.product_product_16599_6261de81,16599,"Ironman Performance Rear Coil Springs to suit Mitsubishi Pajero, Part#MITS039B",5,9415.64,36917.00066
__export__.product_product_15478_1402ea5b,15478,CB-554-83 SUPER SPORT SIDE STEP ISUZU DMAXC/W BRACKET,172,9416.2958,1611373.79
__export__.product_product_27775_8a3e299d,27775,16*7.0 silver painted steel rims-5 Hole-Maxxis,10,9500,81896.55172
__export__.product_product_27948_57e40bda,27948,"OFFSET CASTER RUBBER BUSH KIT SUZUKI, PART#1146RK",2,9696,15207.60027
__export__.product_product_24565_a3dad037,24565,Smart Ford Ranger Rear Step Bumper OEM Style,19,9774.0001,259361.2928
__export__.product_product_24334_847c3faf,24334,"Ironman Rear Leaf Springs for Isuzu D-Max, Part # HOLD021B",12,9774.59,19559.18
__export__.product_product_11832_e689c298,11832,ICOMPRESSOR003-AIRCHAMP 90L MINI PORTABLE AIRCOMP,5,9837.24,38570.00069
__export__.product_product_16986_d019b0a1,16986,"Ironman Front Foam Cell Struct Shock Absorbers to suit Mitsubishi Pajero, Part#24713FE",12,9837.24,77142.00139
__export__.product_product_24769_a7523f52,24769,"Pump Fuel, Part # 417059",6,9905.4061,64872.69918
__export__.product_product_17219_82ce9bbb,17219,225/60R17 AT771 103T TL (225/60R17 AT771 103T TL Maxxis Tyres),10,9913.79,10
__export__.product_product_25278_ace3bee7,25278,N90L (105D31L) Bost Batteries,10,9913.79,68568.96547
__export__.product_product_17416_33122db6,17416,N90R (105D31R) Bost Batteries,11,9913.79,11
